,BIDS Data,BIDS Validated
106,/sub-120717/anat/sub-120717_T1w.nii.gz,True
107,/sub-121315/anat/sub-121315_T1w.nii.gz,True
108,/sub-121416/anat/sub-121416_T1w.nii.gz,True
109,/sub-121618/anat/sub-121618_T1w.nii.gz,True
110,/sub-121719/anat/sub-121719_T1w.nii.gz,True
111,/sub-121820/anat/sub-121820_T1w.nii.gz,True
112,/sub-121921/anat/sub-121921_T1w.nii.gz,True
113,/sub-122317/anat/sub-122317_T1w.nii.gz,True
114,/sub-122418/anat/sub-122418_T1w.nii.gz,True
115,/sub-122620/anat/sub-122620_T1w.nii.gz,True
116,/sub-122822/anat/sub-122822_T1w.nii.gz,True
117,/sub-123117/anat/sub-123117_T1w.nii.gz,True
118,/sub-123420/anat/sub-123420_T1w.nii.gz,True
119,/sub-123521/anat/sub-123521_T1w.nii.gz,True
120,/sub-123723/anat/sub-123723_T1w.nii.gz,True
121,/sub-123824/anat/sub-123824_T1w.nii.gz,True
122,/sub-123925/anat/sub-123925_T1w.nii.gz,True
123,/sub-124220/anat/sub-124220_T1w.nii.gz,True
124,/sub-124422/anat/sub-124422_T1w.nii.gz,True
125,/sub-124624/anat/sub-124624_T1w.nii.gz,True
126,/sub-124826/anat/sub-124826_T1w.nii.gz,True
127,/sub-125222/anat/sub-125222_T1w.nii.gz,True
128,/sub-125424/anat/sub-125424_T1w.nii.gz,True
129,/sub-125525/anat/sub-125525_T1w.nii.gz,True
130,/sub-126325/anat/sub-126325_T1w.nii.gz,True
131,/sub-126426/anat/sub-126426_T1w.nii.gz,True
132,/sub-126628/anat/sub-126628_T1w.nii.gz,True
133,/sub-126931/anat/sub-126931_T1w.nii.gz,True
134,/sub-127226/anat/sub-127226_T1w.nii.gz,True
135,/sub-127327/anat/sub-127327_T1w.nii.gz,True
136,/sub-127630/anat/sub-127630_T1w.nii.gz,True
137,/sub-127731/anat/sub-127731_T1w.nii.gz,True
138,/sub-127832/anat/sub-127832_T1w.nii.gz,True
139,/sub-127933/anat/sub-127933_T1w.nii.gz,True
140,/sub-128026/anat/sub-128026_T1w.nii.gz,True
141,/sub-128127/anat/sub-128127_T1w.nii.gz,True
142,/sub-128329/anat/sub-128329_T1w.nii.gz,True
143,/sub-128632/anat/sub-128632_T1w.nii.gz,True
144,/sub-128935/anat/sub-128935_T1w.nii.gz,True
145,/sub-129028/anat/sub-129028_T1w.nii.gz,True
146,/sub-129129/anat/sub-129129_T1w.nii.gz,True
147,/sub-129331/anat/sub-129331_T1w.nii.gz,True
148,/sub-129432/anat/sub-129432_T1w.nii.gz,True
149,/sub-129533/anat/sub-129533_T1w.nii.gz,True
150,/sub-129634/anat/sub-129634_T1w.nii.gz,True
151,/sub-129937/anat/sub-129937_T1w.nii.gz,True
152,/sub-130013/anat/sub-130013_T1w.nii.gz,True
153,/sub-130114/anat/sub-130114_T1w.nii.gz,True
154,/sub-130316/anat/sub-130316_T1w.nii.gz,True
155,/sub-130417/anat/sub-130417_T1w.nii.gz,True
156,/sub-130518/anat/sub-130518_T1w.nii.gz,True
157,/sub-130619/anat/sub-130619_T1w.nii.gz,True
158,/sub-130720/anat/sub-130720_T1w.nii.gz,True
159,/sub-130821/anat/sub-130821_T1w.nii.gz,True
160,/sub-130922/anat/sub-130922_T1w.nii.gz,True
161,/sub-131217/anat/sub-131217_T1w.nii.gz,True
162,/sub-131419/anat/sub-131419_T1w.nii.gz,True
163,/sub-131621/anat/sub-131621_T1w.nii.gz,True
164,/sub-131722/anat/sub-131722_T1w.nii.gz,True
165,/sub-131823/anat/sub-131823_T1w.nii.gz,True
166,/sub-131924/anat/sub-131924_T1w.nii.gz,True
167,/sub-132017/anat/sub-132017_T1w.nii.gz,True
168,/sub-132118/anat/sub-132118_T1w.nii.gz,True
169,/sub-133019/anat/sub-133019_T1w.nii.gz,True
170,/sub-133625/anat/sub-133625_T1w.nii.gz,True
171,/sub-133827/anat/sub-133827_T1w.nii.gz,True
172,/sub-133928/anat/sub-133928_T1w.nii.gz,True
173,/sub-134021/anat/sub-134021_T1w.nii.gz,True
174,/sub-134223/anat/sub-134223_T1w.nii.gz,True
175,/sub-134324/anat/sub-134324_T1w.nii.gz,True
